MA HOA DON                    MA SAN PHAM                   LOAI HOA DON                  SO LUONG MUA/BAN              NGAY MUA/BAN                  GIA MUA/BAN                   
=======================================================================================================================================================================
BILL001                       ITEM042                       MUA                           10                            10/10/2022                    1200000                       
BILL002                       ITEM035                       BAN                           1                             13/10/2022                    35000                         
BILL003                       ITEM018                       BAN                           2                             13/10/2022                    70000                         
BILL004                       ITEM002                       BAN                           4                             18/10/2022                    200000                        
BILL005                       ITEM044                       MUA                           20                            15/10/2022                    800000                        
BILL006                       ITEM013                       MUA                           20                            02/10/2022                    160000                        
BILL007                       ITEM004                       MUA                           24                            05/10/2022                    384000                        
BILL008                       ITEM010                       BAN                           5                             08/10/2022                    60000                         
BILL009                       ITEM006                       BAN                           10                            09/10/2022                    100000                        
BILL010                       ITEM001                       BAN                           1                             06/10/2022                    30000                         
BILL011                       ITEM008                       BAN                           6                             15/10/2022                    50000                         
BILL012                       ITEM007                       BAN                           1                             20/10/2022                    30000                         
BILL013                       ITEM027                       BAN                           24                            21/10/2022                    110000                        
BILL014                       ITEM046                       BAN                           2                             30/9/2022                     30000                         
BILL015                       ITEM026                       BAN                           12                            24/10/2022                    120000                        
BILL016                       ITEM010                       MUA                           48                            23/10/2022                    360000                        
BILL017                       ITEM036                       BAN                           10                            23/10/2022                    35000                         
BILL018                       ITEM051                       BAN                           2                             20/10/2022                    30000                         
BILL019                       ITEM052                       MUA                           64                            10/10/2022                    320000                        
BILL020                       ITEM033                       BAN                           1                             10/10/2022                    60000                         
BILL021                       ITEM043                       BAN                           1                             12/10/2022                    90000                         
BILL022                       ITEM022                       BAN                           2                             13/10/2022                    50000                         
BILL023                       ITEM059                       MUA                           20                            13/10/2022                    200000                        
BILL024                       ITEM015                       BAN                           4                             13/10/2022                    120000                        
BILL025                       ITEM025                       BAN                           24                            13/10/2022                    165000                        
BILL026                       ITEM037                       BAN                           1                             13/10/2022                    65000                         
BILL027                       ITEM040                       BAN                           2                             04/10/2022                    60000                         
BILL028                       ITEM045                       MUA                           5                             05/10/2022                    400000                        
BILL029                       ITEM046                       MUA                           30                            06/10/2022                    360000                        
BILL030                       ITEM056                       BAN                           5                             15/10/2022                    75000                         
BILL031                       ITEM010                       MUA                           24                            07/10/2022                    60000                         
BILL032                       ITEM060                       MUA                           40                            13/10/2022                    50000                         
BILL033                       ITEM057                       BAN                           2                             13/10/2022                    250000                        
BILL034                       ITEM040                       BAN                           2                             13/10/2022                    100000                        
BILL035                       ITEM053                       BAN                           3                             12/10/2022                    70000                         
BILL036                       ITEM054                       BAN                           1                             17/10/2022                    60000                         
BILL037                       ITEM030                       BAN                           6                             18/10/2022                    60000                         
BILL038                       ITEM020                       BAN                           1                             10/10/2022                    400000                        
BILL039                       ITEM021                       MUA                           10                            11/10/2022                    400000                        
BILL040                       ITEM028                       MUA                           48                            11/10/2022                    360000                        
BILL041                       ITEM031                       BAN                           2                             09/10/2022                    70000                         
BILL042                       ITEM038                       BAN                           5                             03/10/2022                    100000                        
BILL043                       ITEM055                       MUA                           30                            04/10/2022                    360000                        
BILL044                       ITEM050                       BAN                           2                             05/10/2022                    10000                         
BILL045                       ITEM017                       BAN                           5                             05/10/2022                    10000                         
BILL046                       ITEM016                       BAN                           2                             08/10/2022                    30000                         
BILL047                       ITEM023                       MUA                           10                            09/10/2022                    700000                        
BILL048                       ITEM029                       MUA                           48                            09/10/2022                    400000                        
BILL049                       ITEM032                       BAN                           1                             09/10/2022                    50000                         
BILL050                       ITEM034                       BAN                           2                             12/10/2022                    20000                         
                                                                                                                                                                                    
