MA SAN PHAM                   TEN SAN PHAM                                                NHA SAN XUAT                  
========================================================================================================================
ITEM001                       BANH TAO BIEN KAMI                                          HAI HA COMPANY                
ITEM002                       BANH TRUNG THU HUU BINH                                     HUU BINH COMPANY              
ITEM003                       BANH CHOCOPIE                                               ORION                         
ITEM004                       BANH QUY COSY                                               KINH DO COMPANY               
ITEM005                       BANH CREAM-O                                                JACK & JILL COMPANY           
ITEM006                       TRA XANH C2                                                 URC VIET NAM COMPANY          
ITEM007                       TRA DAO COZY                                                COZY COMPANY                  
ITEM008                       TRA XANH KHONG DO                                           TAN HIEP PHAT COMPANY         
ITEM009                       SUA MILO                                                    NESTLE COMPANY                
ITEM010                       TRA O LONG TEA PLUS                                         PEPSICO VIET NAM COMPANY      
ITEM011                       SUA CHUA VINAMILK                                           VINAMILK COMPANY              
ITEM012                       SUA CHUA TH TRUEMILK NHA DAM                                TH TRUEMILK COMPANY           
ITEM013                       SUA CHUA NEP CAM MOC CHUA                                   MOC CHAU MILK COMPANY         
ITEM014                       VANG SUA MONTE                                              ZOTT COMPANY (GERMANY)        
ITEM015                       SUA CHUA VINAMILK VI DAU                                    VINAMILK COMPANY              
ITEM016                       KEO ALPENLIEBE 2 CHEW                                       PERFETTI VAN MELLE COMPANY    
ITEM017                       KEO CHUPA CHUPS 7 SAC CAU VONG                              CHUPA CHUPS COMPANY           
ITEM018                       KEO DUA BEN TRE                                             HONG AN COMPANY               
ITEM019                       KEO SOCOLA MILKA                                            MILKA COMPANY                 
ITEM020                       KEO DAU DO                                                  HAI HA COMPANY                
ITEM021                       BANH BONG LAN HURA DELI 336GRAM                             BIBICA                        
ITEM022                       BANH TRUNG MERCURY 252G                                     HAIHACO                       
ITEM023                       SOCOLA CADBURY DAIRY MILK 150G                              MONDELEZ KINH DO              
ITEM024                       BANH ORION CHOCOPIE TINH VI TRUYEN THONG 396G               ORION                         
ITEM025                       BANH TIPO TRUNG SUA 39G                                     HUU NGHI FOOD                 
ITEM026                       NUOC UONG TANG LUC REDBULL 250ML                            VIFOTEX                       
ITEM027                       NUOC UONG DONG CHAI UNIAQUA 500ML                           HABECO                        
ITEM028                       NUOC GIAI KHAT COCA-COLA VI NGUYEN BAN ORIGINAL LON 320ML   COCA-COLA                     
ITEM029                       WAKE UP 247 VI CA PHE CHAI 330ML                            VINACAFE                      
ITEM030                       7UP MOJITO HUONG CHANH BAC HA LON 330ML                     PEPSICO                       
ITEM031                       DUNG DICH VE SINH PHU NU DA HUONG 100ML                     DUOC PHAM HOA LINH            
ITEM032                       BAN CHAI DANH RANG COLGATE SLIMSOLF CHARCOAL SIEU MEM MANH  COGATE PALMOLIVE              
ITEM033                       BANG VE SINH DIANA SUPER NIGHT 29CM                         UNICHARM                      
ITEM034                       BONG TAY TRANG SILCOT NHAT BAN HOP 20 MIENG                 UNICHARM                      
ITEM035                       DAO CAO GILLETTE VECTOR 1UP                                 GILEETTE                      
ITEM036                       MI TOM HAO HAO HUONG CHUA CAY 75G                           ACECOOK                       
ITEM037                       CAFE HOA TAN G7 3IN1 HOP 21x16G                             CAFE TRUNG NGUYEN             
ITEM038                       PATE COT DEN HAI PHONG 150G                                 HA LONG CANFOCO               
ITEM039                       BO LAT TU NHIEN TH TRUE BUTTER VI 10x10G                    TH GROUP                      
ITEM040                       SNACK KHOAI TAY LAYS STAX LON 105G                          PEPSICO                       
ITEM041                       XUC XICH PONNIE 88% THIT CAY 45G                            MASAN CONSUMER                
ITEM042                       BOT GIAT TIDE TRANG DOT PHA HUONG DOWMY 3.8KG               P&G COMPANY                   
ITEM043                       NUOC LAU SAN SUNLIGHT THIEN THAO 3.8KG                      UNILEVER                      
ITEM044                       NUOC RUA CHEN MY HAO HUONG CHANH CAM 1.5L                   MY HAO                        
ITEM045                       DAU GOI DAU TRESEMME KERATIN SMOOTH 640G                    UNILEVER                      
ITEM046                       XA BONG CUC LIFEBUOY DIET KHUAN VUOT TROI 90G               UNILEVER                      
ITEM047                       BUT BI CANDEE 0.6MM                                         VPP THIEN LONG                
ITEM048                       BIA LA BUBLE BINDER C/F 40P                                 MORNING GLORY CORP            
ITEM049                       VO B5 4 LY NGANG 200 TRANG REPETE                           KOKUYO CAMPUS                 
ITEM050                       GOT BUT CHI DELI                                            VPPDELI                       
ITEM051                       CUON BAO SACH NYLON TNT 10/CUON                             OEM                           
ITEM052                       BOT CANH VIFON 200G                                         VIFON                         
ITEM053                       MI CHINH/BOT NGOT AJINOMOTO 454G                            AJINOMOTO                     
ITEM054                       NUOC MAM NAM NGU CHAI 900ML                                 MASAN CONSUMER                
ITEM055                       TUONG OT CHIN-SU 250G                                       MASAN CONSUMER                
ITEM056                       BOT TAM KHO CHIEN GION AJI QUICK                            AJI-QUICK                     
ITEM057                       GAO THOM ST21 A AN TUI 5KG                                  TAN LONG GROUP                
ITEM058                       THE CAO DIEN THOAI CAC LOAI                                 VIETTEL,VINAPHONE,MOBIPHONE,...
ITEM059                       NUOC BINH 19L                                               HAI HA WATER                  
ITEM060                       AO MUA TRONG SUOT DELI                                      VPPDELI                       
ITEM061                       PIN CON THO AA                                              HABACO                        
                                                                                                                        
